Source,Target
"","End of term customers, customers that signed contract"
"",Excel file: Customer Info with Pre-Approval Info
"",GAP - Guaranteed Asset Protection
"",Interest Rate
"",Manually signed contract
"",MBI - Mechanical Breakdown Insurance
"",Medallia survey answers
"",Medallia survey questions
"","VFS customer grade, CB customer grade, customer scorecard"
"","VFS employee Medallia portal UI, customer 360 view data, survey results and reports, ..."
"""Know Your Customer (KYC)""",Determine Probability of Default
"""Know Your Customer (KYC)""",Know the Structure of the Deal
"""Loan & Lease"" Request - NA",L3 Credit Request Types
(External) Eicher SalesOne,115007_India Credit Portal
(New) Business Engine,Commercial Services & Products Operations
(New) Business Engine,L0 Core Capabilities
(New) Business Engine,L1 Commercial Operations
(New) Business Engine,L1 Delivery and Activation
(New) Business Engine,L2 Asset Management
(New) Business Engine,L2 Collection Management
(New) Business Engine,L2 Contract Management
(New) Business Engine,L2 Credit & Risk Management
(New) Business Engine,L2 Delivery & Activation Monitoring
(New) Business Engine,L2 Initiation & Activation Management
(New) Business Engine,L2 Invoice Management
(New) Business Engine,L2 Payment Management
(New) Business Engine,L3 Asset Assessment
(New) Business Engine,L3 Asset Auditing & Monitoring
(New) Business Engine,L3 Asset Valuation
(New) Business Engine,L3 Charges & Fees Management (v5.3)
(New) Business Engine,L3 Contract Activation
(New) Business Engine,L3 Contract Amendment
(New) Business Engine,L3 Contract Ending
(New) Business Engine,L3 Contract Initiation
(New) Business Engine,L3 Contract Termination
(New) Business Engine,L3 Customer Credit Assessment
(New) Business Engine,L3 Customer Payment Management
(New) Business Engine,L3 Default Identification
(New) Business Engine,L3 Dunning
(New) Business Engine,L3 Early Warning
(New) Business Engine,L3 Externally Sourced Delivery & Activation Monitoring
(New) Business Engine,L3 Externally Sourced Products & Services Activation
(New) Business Engine,L3 Externally Sourced Products & Services Administration
(New) Business Engine,L3 Incoming Invoice Management
(New) Business Engine,L3 Inventory Management
(New) Business Engine,L3 Invoice Netting
(New) Business Engine,L3 Limit & Exposure Management
(New) Business Engine,L3 Merchant Management
(New) Business Engine,L3 Outgoing Invoice Management
(New) Business Engine,L3 Payment Case Management
(New) Business Engine,L3 Payment Execution Management
(New) Business Engine,L3 Payment Method Management
(New) Business Engine,L3 Payment Request Initiation
(New) Business Engine,L3 Payment Request Management
(New) Business Engine,L3 Reversals and Exception Management
(New) Business Engine,L3 Risk Decisioning
(New) Business Engine,L3 Risk Mitigation
(New) Business Engine,L3 Transaction Assessment
(New) Business Engine,L3 VFS Delivery & Activation Monitoring
(New) Business Engine,L3 Wallet Management
(New) Business Engine,L4 Asset Credit Grading Rule Management
(New) Business Engine,L4 Asset Location Auditing & Monitoring
(New) Business Engine,L4 Asset Physical Condition Auditing & Monitoring
(New) Business Engine,L4 Asset Usage Auditing & Monitoring
(New) Business Engine,L4 Charges & Fees Management
(New) Business Engine,L4 Credit Condition Management
(New) Business Engine,L4 Credit Limit Management
(New) Business Engine,L4 Customer Credit Grading Rule Management
(New) Business Engine,L4 Customer Credit Report Management
(New) Business Engine,L4 Customer External Payment Behavior Reporting
(New) Business Engine,L4 Customer Financial Statement Management
(New) Business Engine,L4 Customer VFS Payment Behavior Reporting
(New) Business Engine,L4 Default Rules Management
(New) Business Engine,L4 External Exposure Management
(New) Business Engine,L4 Risk Authorization Management
(New) Business Engine,L4 Risk Decision Rule Management
(New) Business Engine,L4 Supplier Credit Note Management
(New) Business Engine,L4 Supplier Invoice Management
(New) Business Engine,L4 Transaction Grading Rule Management
(New) Business Engine,L4 VFS Exposure Management
(new) India Frontend Webform,CAPTCHA Feature
(new) India Frontend Webform,Customer Consent Collection
(new) India Frontend Webform,Form - Corporate
(new) India Frontend Webform,Form - HUF
(new) India Frontend Webform,Form - Individual
(new) India Frontend Webform,Form - Proprietorship
(new) India Frontend Webform,Navigation & Selection Page
(new) India Frontend Webform,Notification (DB and Email)
(new) Service Contract Mgmt System - AU,Commercial Services & Products Operations
(new) Service Contract Mgmt System - AU,Customer & Partner Engagement
(new) Service Contract Mgmt System - AU,L0 Core Capabilities
(new) Service Contract Mgmt System - AU,L1 Business Performance Management
(new) Service Contract Mgmt System - AU,L1 Commercial Operations
(new) Service Contract Mgmt System - AU,L1 Customer & Partner Support
(new) Service Contract Mgmt System - AU,L1 Customer Relationship Management
(new) Service Contract Mgmt System - AU,L1 Delivery and Activation
(new) Service Contract Mgmt System - AU,L2 Business Intelligence & Analytics
(new) Service Contract Mgmt System - AU,L2 Collection Management
(new) Service Contract Mgmt System - AU,L2 Contract Management
(new) Service Contract Mgmt System - AU,L2 Credit & Risk Management
(new) Service Contract Mgmt System - AU,L2 Customer Information Management
(new) Service Contract Mgmt System - AU,L2 Delivery & Activation Monitoring
(new) Service Contract Mgmt System - AU,L2 Initiation & Activation Management
(new) Service Contract Mgmt System - AU,L2 Invoice Management
(new) Service Contract Mgmt System - AU,L2 Payment Management
(new) Service Contract Mgmt System - AU,L2 Service Management
(new) Service Contract Mgmt System - AU,L3 Case Management
(new) Service Contract Mgmt System - AU,L3 Charges & Fees Management (v5.3)
(new) Service Contract Mgmt System - AU,L3 Contract Activation
(new) Service Contract Mgmt System - AU,L3 Contract Amendment
(new) Service Contract Mgmt System - AU,L3 Contract Ending
(new) Service Contract Mgmt System - AU,L3 Contract Initiation
(new) Service Contract Mgmt System - AU,L3 Contract Termination
(new) Service Contract Mgmt System - AU,L3 Customer Credit Assessment
(new) Service Contract Mgmt System - AU,L3 Customer Payment Management
(new) Service Contract Mgmt System - AU,L3 Default Identification
(new) Service Contract Mgmt System - AU,L3 Dunning
(new) Service Contract Mgmt System - AU,L3 Early Warning
(new) Service Contract Mgmt System - AU,L3 Incoming Invoice Management
(new) Service Contract Mgmt System - AU,L3 Invoice Netting
(new) Service Contract Mgmt System - AU,L3 Limit & Exposure Management
(new) Service Contract Mgmt System - AU,L3 Outgoing Invoice Management
(new) Service Contract Mgmt System - AU,L3 Payment Execution Management
